work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,Senior-level,Full-Time,Machine Learning Engineer,152300,USD,152300,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Engineer,64300,USD,64300,US,On-site,United States,M
2021,Senior-level,Full-Time,Data Researcher,51400,EUR,60757,PT,Hybrid,Portugal,L
2024,Mid-level,Full-Time,Data Engineer,107800,USD,107800,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Scientist,97060,USD,97060,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,172200,USD,172200,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Architect,242100,USD,242100,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Scientist,93900,USD,93900,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Scientist,183310,USD,183310,US,On-site,United States,M
2022,Senior-level,Full-Time,Data Analyst,115934,USD,115934,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Data Engineer,144000,USD,144000,US,On-site,United States,M
2024,Senior-level,Full-Time,Machine Learning Engineer,219100,USD,219100,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Data Architect,192564,USD,192564,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Architect,105200,USD,105200,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,155500,USD,155500,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,143060,USD,143060,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Engineer,130000,USD,130000,US,On-site,United States,M
2023,Mid-level,Full-Time,Machine Learning Engineer,84000,USD,84000,VN,Fully Remote,Vietnam,M
2022,Senior-level,Full-Time,Data Engineer,141300,USD,141300,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,185000,USD,185000,US,On-site,United States,M
2024,Executive-level,Full-Time,Data Analyst,120000,USD,120000,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,260000,USD,260000,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Engineer,175000,USD,175000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Researcher,333500,USD,333500,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,152000,USD,152000,US,On-site,United States,M
2024,Senior-level,Full-Time,Machine Learning Engineer,220000,USD,220000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Analyst,110600,USD,110600,US,On-site,United States,M
2023,Executive-level,Full-Time,Data Engineer,225000,USD,225000,US,On-site,United States,M
2024,Executive-level,Full-Time,Data Architect,180000,USD,180000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Scientist,84700,USD,84700,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,225000,USD,225000,US,On-site,United States,M
2022,Senior-level,Full-Time,Data Engineer,145000,USD,145000,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Engineer,128000,USD,128000,US,On-site,United States,M
2023,Entry-level/Junior,Full-Time,Data Researcher,195200,USD,195200,US,On-site,United States,L
2024,Senior-level,Full-Time,Data Engineer,45000,GBP,56250,GB,Fully Remote,United Kingdom,M
2023,Executive-level,Full-Time,Data Engineer,239000,USD,239000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Engineer,90300,USD,90300,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Analyst,52500,USD,52500,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Data Engineer,247500,USD,247500,US,On-site,United States,M
2024,Senior-level,Full-Time,Machine Learning Engineer,229900,USD,229900,US,On-site,United States,M
2023,Mid-level,Full-Time,Business Intelligence,35000,GBP,43064,GB,On-site,United Kingdom,M
2024,Executive-level,Full-Time,Data Scientist,300000,USD,300000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Researcher,49500,EUR,53444,ES,Fully Remote,Spain,M
2024,Entry-level/Junior,Full-Time,Data Analyst,100000,USD,100000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Engineer,162000,USD,162000,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Researcher,200000,USD,200000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Scientist,68975,USD,68975,CA,On-site,Canada,M
2024,Senior-level,Full-Time,Data Analyst,109000,USD,109000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,184700,USD,184700,US,On-site,United States,M
2024,Entry-level/Junior,Full-Time,Data Scientist,60800,USD,60800,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Researcher,253750,USD,253750,ES,On-site,Spain,M
2023,Senior-level,Full-Time,Data Management,145000,USD,145000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,204500,USD,204500,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,140000,USD,140000,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,170000,USD,170000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Scientist,126600,USD,126600,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,190000,USD,190000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Scientist,150200,USD,150200,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,135000,USD,135000,US,On-site,United States,M
2023,Senior-level,Full-Time,Business Intelligence,225000,USD,225000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,150000,USD,150000,MX,Fully Remote,Mexico,M
2024,Senior-level,Full-Time,Data Architect,174000,USD,174000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Researcher,112000,USD,112000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Researcher,210000,USD,210000,US,On-site,United States,M
2023,Mid-level,Full-Time,Business Intelligence,100000,USD,100000,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Scientist,142200,USD,142200,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,90700,USD,90700,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,156000,USD,156000,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Machine Learning Engineer,164996,USD,164996,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Scientist,154360,USD,154360,US,On-site,United States,M
2023,Executive-level,Full-Time,Data Engineer,221000,USD,221000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Business Intelligence,104300,USD,104300,US,On-site,United States,L
2023,Executive-level,Full-Time,Data Architect,180000,USD,180000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,130000,USD,130000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,130000,USD,130000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,299500,USD,299500,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Operation,88000,USD,88000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,155000,USD,155000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,140000,USD,140000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Engineer,203500,USD,203500,US,Fully Remote,United States,M
2023,Mid-level,Full-Time,Data Engineer,75000,USD,75000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,95325,USD,95325,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Analyst,65000,USD,65000,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Engineer,40000,EUR,43187,PL,Fully Remote,Poland,L
2023,Entry-level/Junior,Full-Time,Data Operation,100000,USD,100000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Scientist,45000,EUR,48585,ES,On-site,Spain,M
2024,Entry-level/Junior,Full-Time,Machine Learning Engineer,187500,USD,187500,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Management,125500,USD,125500,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Architect,363000,USD,363000,US,On-site,United States,M
2024,Entry-level/Junior,Full-Time,Data Analyst,51500,USD,51500,US,On-site,United States,M
2022,Senior-level,Full-Time,Data Scientist,205000,USD,205000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Engineer,190000,USD,190000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Engineer,287500,USD,287500,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,175000,USD,175000,US,Fully Remote,United States,M
2022,Entry-level/Junior,Part-Time,Data Analyst,24000,EUR,25216,ES,Fully Remote,United States,L
2022,Senior-level,Full-Time,Data Engineer,146000,USD,146000,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Engineer,109000,USD,109000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Scientist,228045,USD,228045,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,128250,USD,128250,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,142200,USD,142200,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Management,171000,USD,171000,US,Fully Remote,United States,M
2023,Mid-level,Full-Time,Data Engineer,167500,USD,167500,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Management,140000,USD,140000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,150000,USD,150000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Scientist,140400,USD,140400,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Scientist,138900,USD,138900,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Researcher,295000,USD,295000,US,On-site,United States,M
2023,Executive-level,Full-Time,Data Engineer,265000,USD,265000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,151300,USD,151300,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Analyst,87500,USD,87500,US,On-site,United States,M
2024,Entry-level/Junior,Full-Time,Data Analyst,40000,GBP,50000,GB,Fully Remote,United Kingdom,M
2023,Mid-level,Full-Time,Data Engineer,120000,USD,120000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Analyst,227000,USD,227000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Architect,86000,USD,86000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Engineer,140000,USD,140000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,141000,USD,141000,US,On-site,United States,M
2022,Senior-level,Full-Time,Data Engineer,185900,USD,185900,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Engineer,58400,USD,58400,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,150000,USD,150000,US,Fully Remote,United States,M
2024,Mid-level,Full-Time,Data Engineer,115000,USD,115000,US,On-site,United States,M
2023,Executive-level,Full-Time,Data Management,200000,GBP,246080,GB,On-site,United Kingdom,M
2021,Senior-level,Full-Time,Data Engineer,200000,USD,200000,US,Fully Remote,United States,L
2023,Entry-level/Junior,Full-Time,Data Analyst,71615,USD,71615,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,309400,USD,309400,US,On-site,United States,L
2023,Senior-level,Full-Time,Business Intelligence,115000,USD,115000,US,Fully Remote,United States,M
2024,Mid-level,Full-Time,Data Scientist,130000,USD,130000,US,On-site,United States,M
2024,Senior-level,Full-Time,Machine Learning Engineer,283780,USD,283780,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,112500,USD,112500,US,Fully Remote,United States,M
2022,Executive-level,Full-Time,Data Engineer,116100,USD,116100,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Data Scientist,115500,USD,115500,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Data Scientist,249500,USD,249500,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Scientist,45000,GBP,55368,GB,On-site,United Kingdom,M
2024,Mid-level,Full-Time,Data Engineer,90800,USD,90800,US,On-site,United States,M
2024,Entry-level/Junior,Full-Time,Data Analyst,138000,USD,138000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,200000,USD,200000,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,170000,USD,170000,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,204500,USD,204500,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,212000,USD,212000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Researcher,73100,USD,73100,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,136000,USD,136000,US,On-site,United States,L
2023,Senior-level,Full-Time,Machine Learning Engineer,168700,USD,168700,CA,On-site,Canada,M
2023,Entry-level/Junior,Full-Time,Data Analyst,30000,USD,30000,AR,Fully Remote,United States,S
2023,Mid-level,Full-Time,Data Analyst,70000,USD,70000,US,On-site,United States,M
2023,Senior-level,Full-Time,Business Intelligence,150000,USD,150000,US,On-site,United States,M
2022,Senior-level,Full-Time,Data Engineer,197430,USD,197430,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Data Engineer,210000,USD,210000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Scientist,170000,USD,170000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,173000,USD,173000,US,Fully Remote,United States,M
2022,Entry-level/Junior,Full-Time,Data Engineer,120000,USD,120000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Management,130000,USD,130000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Scientist,222200,USD,222200,US,On-site,United States,L
2023,Senior-level,Full-Time,Data Scientist,300240,USD,300240,US,On-site,United States,M
2024,Entry-level/Junior,Full-Time,Data Analyst,74400,USD,74400,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Data Engineer,120000,USD,120000,US,On-site,United States,M
2022,Mid-level,Full-Time,Machine Learning Engineer,129300,USD,129300,US,On-site,United States,M
2024,Entry-level/Junior,Full-Time,Machine Learning Engineer,105300,USD,105300,CA,Fully Remote,Canada,M
2022,Senior-level,Full-Time,Data Engineer,122600,USD,122600,US,On-site,United States,M
2023,Executive-level,Full-Time,Data Scientist,145000,USD,145000,US,On-site,United States,M
2021,Senior-level,Full-Time,Data Analyst,170000,USD,170000,US,Fully Remote,United States,L
2024,Mid-level,Full-Time,Data Operation,50000,EUR,55555,DE,On-site,Germany,M
2023,Senior-level,Full-Time,Data Scientist,247600,USD,247600,US,On-site,United States,L
2024,Senior-level,Full-Time,Data Engineer,78900,USD,78900,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Engineer,133000,USD,133000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,176000,USD,176000,US,Fully Remote,United States,M
2023,Entry-level/Junior,Full-Time,Data Engineer,130916,USD,130916,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,147000,USD,147000,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Engineer,90000,USD,90000,US,Fully Remote,United States,M
2024,Mid-level,Full-Time,Machine Learning Engineer,99100,USD,99100,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,85500,USD,85500,US,On-site,United States,M
2024,Mid-level,Full-Time,Machine Learning Engineer,130000,USD,130000,US,On-site,United States,M
2023,Senior-level,Full-Time,Business Intelligence,193600,USD,193600,US,On-site,United States,M
2023,Entry-level/Junior,Full-Time,Data Scientist,53000,EUR,57223,NL,Hybrid,Netherlands,L
2023,Mid-level,Full-Time,Data Engineer,95000,GBP,116888,GB,Fully Remote,United Kingdom,L
2023,Senior-level,Full-Time,Data Engineer,205000,USD,205000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,106800,USD,106800,US,Fully Remote,United States,M
2023,Mid-level,Full-Time,Data Engineer,90000,USD,90000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Scientist,231250,USD,231250,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,200000,USD,200000,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,233000,USD,233000,US,On-site,United States,M
2022,Entry-level/Junior,Full-Time,Machine Learning Engineer,108000,USD,108000,US,On-site,United States,S
2022,Senior-level,Full-Time,Machine Learning Engineer,168000,USD,168000,CA,Fully Remote,Canada,M
2023,Mid-level,Full-Time,Data Engineer,181500,USD,181500,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Analyst,124230,USD,124230,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,222200,USD,222200,US,On-site,United States,L
2022,Senior-level,Full-Time,Data Engineer,225000,USD,225000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,250000,USD,250000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,135000,USD,135000,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Machine Learning Engineer,230000,USD,230000,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Data Engineer,35000,EUR,36773,ES,On-site,Spain,M
2024,Mid-level,Full-Time,Data Engineer,73100,USD,73100,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,130000,USD,130000,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Data Engineer,63000,USD,63000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Analyst,112715,USD,112715,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Scientist,215000,USD,215000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,136000,USD,136000,US,On-site,United States,L
2023,Senior-level,Full-Time,Data Engineer,151000,USD,151000,CA,Fully Remote,Canada,M
2024,Senior-level,Full-Time,Data Engineer,187000,USD,187000,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Researcher,220000,USD,220000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Operation,73000,USD,73000,US,On-site,United States,M
2024,Entry-level/Junior,Full-Time,Data Analyst,96800,USD,96800,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Scientist,93918,USD,93918,US,Fully Remote,United States,M
2024,Entry-level/Junior,Full-Time,Data Analyst,106875,USD,106875,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,152000,USD,152000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Analyst,144000,USD,144000,GB,On-site,United Kingdom,M
2022,Senior-level,Full-Time,Data Scientist,177500,USD,177500,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Data Engineer,161500,USD,161500,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Scientist,212000,USD,212000,EG,On-site,Egypt,M
