work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
2023,Mid-level,Full-Time,Data Analyst,165000,USD,165000,AU,On-site,Australia,M
2023,Mid-level,Full-Time,Data Analyst,70000,USD,70000,US,Fully Remote,United States,M
2024,Mid-level,Full-Time,Machine Learning Engineer,85000,EUR,94444,IE,Fully Remote,Ireland,M
2024,Senior-level,Full-Time,Data Scientist,92700,USD,92700,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Researcher,150000,USD,150000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Researcher,26000,EUR,28888,PT,On-site,Portugal,M
2023,Executive-level,Full-Time,Machine Learning Engineer,145000,USD,145000,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Data Scientist,130000,USD,130000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Scientist,159832,USD,159832,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Engineer,160000,USD,160000,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,198200,USD,198200,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Analyst,85000,USD,85000,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,161000,GBP,198094,GB,On-site,United Kingdom,M
2023,Entry-level/Junior,Full-Time,Data Engineer,65000,USD,65000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,160000,USD,160000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,202600,USD,202600,US,Fully Remote,United States,M
2024,Mid-level,Full-Time,Data Engineer,140000,USD,140000,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,220000,USD,220000,US,Fully Remote,United States,M
2023,Mid-level,Full-Time,Data Scientist,144000,USD,144000,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Data Engineer,110500,USD,110500,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Engineer,147500,USD,147500,US,On-site,United States,M
2022,Entry-level/Junior,Full-Time,Machine Learning Engineer,30000,GBP,36940,GB,Fully Remote,United Kingdom,L
2024,Mid-level,Full-Time,Machine Learning Engineer,174000,USD,174000,US,Fully Remote,United States,M
2024,Mid-level,Full-Time,Data Scientist,70000,USD,70000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,225000,USD,225000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Researcher,147100,USD,147100,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,275300,USD,275300,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Business Intelligence,110000,USD,110000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Engineer,123700,USD,123700,US,On-site,United States,L
2023,Mid-level,Full-Time,Data Analyst,55000,EUR,59382,DE,Hybrid,Germany,L
2023,Senior-level,Full-Time,Data Scientist,158677,USD,158677,US,Fully Remote,United States,M
2021,Entry-level/Junior,Full-Time,Data Scientist,2100000,INR,28399,IN,Fully Remote,India,M
2023,Senior-level,Full-Time,Machine Learning Engineer,151600,USD,151600,US,On-site,United States,M
2024,Entry-level/Junior,Full-Time,Business Intelligence,53000,USD,53000,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,170200,USD,170200,US,On-site,United States,M
2022,Senior-level,Full-Time,Data Analyst,35000,EUR,36773,ES,On-site,Spain,M
2023,Mid-level,Full-Time,Data Researcher,212800,USD,212800,US,On-site,United States,L
2023,Senior-level,Full-Time,Data Analyst,136000,USD,136000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Engineer,116455,USD,116455,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Scientist,199700,USD,199700,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Analyst,105000,USD,105000,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Engineer,140000,USD,140000,US,Fully Remote,United States,M
2024,Entry-level/Junior,Full-Time,Data Researcher,300000,USD,300000,US,On-site,United States,M
2021,Mid-level,Full-Time,Data Engineer,38400,EUR,45391,NL,Fully Remote,Netherlands,L
2023,Senior-level,Full-Time,Data Scientist,156400,USD,156400,US,Fully Remote,United States,M
2023,Mid-level,Full-Time,Machine Learning Engineer,300000,USD,300000,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Scientist,220000,USD,220000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Engineer,113000,USD,113000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Analyst,165000,USD,165000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Scientist,143100,USD,143100,CA,On-site,Canada,M
2023,Senior-level,Full-Time,Data Engineer,120000,USD,120000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Scientist,160000,USD,160000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Engineer,97000,USD,97000,US,On-site,United States,M
2022,Senior-level,Full-Time,Data Scientist,204100,USD,204100,US,On-site,United States,M
2022,Senior-level,Full-Time,Data Analyst,110600,USD,110600,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,120000,USD,120000,US,Fully Remote,United States,M
2020,Executive-level,Full-Time,Data Analyst,15000,USD,15000,NG,On-site,Canada,M
2023,Senior-level,Full-Time,Data Engineer,185000,USD,185000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Scientist,170000,USD,170000,US,On-site,United States,M
2024,Senior-level,Full-Time,Machine Learning Engineer,229900,USD,229900,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Operation,206500,USD,206500,US,On-site,United States,M
2022,Senior-level,Full-Time,Data Analyst,81666,USD,81666,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,145000,USD,145000,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Data Scientist,191475,USD,191475,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Scientist,45000,EUR,48585,ES,On-site,Spain,M
2023,Senior-level,Full-Time,Data Researcher,190400,USD,190400,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,79000,USD,79000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Researcher,203000,USD,203000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Researcher,83000,USD,83000,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Data Scientist,134000,USD,134000,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Data Scientist,136000,USD,136000,US,On-site,United States,L
2023,Mid-level,Full-Time,Data Engineer,72000,USD,72000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,176000,USD,176000,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Scientist,115800,USD,115800,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,140100,USD,140100,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Analyst,133650,USD,133650,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Data Engineer,94500,USD,94500,US,On-site,United States,M
2024,Senior-level,Full-Time,Data Researcher,176700,USD,176700,US,Fully Remote,United States,M
2023,Entry-level/Junior,Full-Time,Business Intelligence,85600,USD,85600,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,176000,USD,176000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Analyst,119610,USD,119610,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,264400,USD,264400,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Data Engineer,260000,USD,260000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,126000,USD,126000,US,On-site,United States,M
2024,Entry-level/Junior,Full-Time,Data Analyst,83300,USD,83300,US,On-site,United States,M
2023,Senior-level,Freelance,Data Researcher,50000,USD,50000,UA,Hybrid,Ukraine,S
2023,Senior-level,Full-Time,Data Researcher,150000,USD,150000,US,Fully Remote,United States,M
2024,Senior-level,Full-Time,Data Scientist,130300,USD,130300,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Scientist,297300,USD,297300,US,Fully Remote,United States,M
2023,Mid-level,Full-Time,Data Operation,90000,USD,90000,US,Fully Remote,United States,M
2023,Mid-level,Full-Time,Data Engineer,240000,USD,240000,US,On-site,United States,M
2023,Senior-level,Full-Time,Data Engineer,73100,USD,73100,US,On-site,United States,M
2024,Senior-level,Full-Time,Machine Learning Engineer,245000,USD,245000,US,Fully Remote,United States,M
2023,Mid-level,Full-Time,Machine Learning Engineer,55000,GBP,67672,GB,Fully Remote,United Kingdom,M
2023,Senior-level,Full-Time,Data Engineer,202000,USD,202000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,66200,EUR,71475,IT,Fully Remote,Italy,M
2024,Mid-level,Full-Time,Machine Learning Engineer,100000,USD,100000,US,Fully Remote,United States,L
2023,Senior-level,Full-Time,Machine Learning Engineer,207700,USD,207700,CA,On-site,Canada,M
2024,Senior-level,Full-Time,Machine Learning Engineer,146900,USD,146900,US,On-site,United States,M
2023,Mid-level,Full-Time,Data Scientist,136000,USD,136000,US,On-site,United States,L
2024,Senior-level,Full-Time,Data Engineer,190000,USD,190000,US,On-site,United States,M
2024,Mid-level,Full-Time,Data Analyst,88000,USD,88000,US,Fully Remote,United States,M
2023,Senior-level,Full-Time,Data Analyst,85000,USD,85000,US,Fully Remote,United States,M
2022,Senior-level,Full-Time,Data Engineer,170000,USD,170000,US,On-site,United States,M
2023,Senior-level,Full-Time,Machine Learning Engineer,160000,USD,160000,US,On-site,United States,M
2023,Senior-level,Full-Time,Business Intelligence,60000,GBP,73824,GB,On-site,United Kingdom,M
